q,asset,std_pred,std_real,ratio_pred_real,rng_pred,split
0.1,SPX,0.0033099614083766937,0.028174594044685364,0.11748035847923989,"[-0.0424, -0.0262]",train
0.1,CMC200,0.005160807631909847,0.09148676693439484,0.05641042748412634,"[-0.1213, -0.0979]",train
0.3,SPX,0.0030299476347863674,0.028174594044685364,0.10754183822421083,"[-0.0202, -0.0064]",train
0.3,CMC200,0.003975505009293556,0.09148676693439484,0.043454426716646254,"[-0.0403, -0.0210]",train
0.5,SPX,0.0029461763333529234,0.028174594044685364,0.10456854599857729,"[-0.0042, 0.0111]",train
0.5,CMC200,0.004838986322283745,0.09148676693439484,0.052892745961323366,"[-0.0158, 0.0087]",train
0.7,SPX,0.005583361256867647,0.028174594044685364,0.19817006938990303,"[0.0058, 0.0277]",train
0.7,CMC200,0.003084610914811492,0.09148676693439484,0.033716470897080304,"[0.0293, 0.0463]",train
0.9,SPX,0.005732275545597076,0.028174594044685364,0.20345547966034913,"[0.0310, 0.0573]",train
0.9,CMC200,0.002380094490945339,0.09148676693439484,0.02601572413912173,"[0.0864, 0.0977]",train
0.1,SPX,0.0030353828333318233,0.01805088296532631,0.16815702806131136,"[-0.0359, -0.0232]",test
0.1,CMC200,0.004067203961312771,0.05369999259710312,0.07573937657362319,"[-0.1126, -0.0987]",test
0.3,SPX,0.0019754921086132526,0.01805088296532631,0.10944019261594838,"[-0.0182, -0.0098]",test
0.3,CMC200,0.0022638817317783833,0.05369999259710312,0.042157952399801815,"[-0.0410, -0.0335]",test
0.5,SPX,0.0021981061436235905,0.01805088296532631,0.12177277686891562,"[-0.0040, 0.0047]",test
0.5,CMC200,0.0031690187752246857,0.05369999259710312,0.05901339314887802,"[-0.0189, -0.0077]",test
0.7,SPX,0.003998445812612772,0.01805088296532631,0.22150970787929494,"[0.0054, 0.0194]",test
0.7,CMC200,0.0015595841687172651,0.05369999259710312,0.0290425397340073,"[0.0277, 0.0340]",test
0.9,SPX,0.005188497714698315,0.01805088296532631,0.28743733614941874,"[0.0343, 0.0525]",test
0.9,CMC200,0.001847825013101101,0.05369999259710312,0.034410153963425,"[0.0861, 0.0923]",test
