t,SPX_p_bull,SPX_p_bear,CMC200_p_bull,CMC200_p_bear
1,0.600000,0.400000,0.400000,0.600000
2,0.600000,0.400000,0.400000,0.600000
3,0.600000,0.400000,0.400000,0.600000
4,0.600000,0.400000,0.400000,0.600000
5,0.600000,0.400000,0.400000,0.600000
6,0.600000,0.400000,0.400000,0.600000
7,0.600000,0.400000,0.400000,0.600000
8,0.600000,0.400000,0.400000,0.600000
9,0.600000,0.400000,0.400000,0.600000
10,0.600000,0.400000,0.400000,0.600000
11,0.600000,0.400000,0.400000,0.600000
12,0.600000,0.400000,0.400000,0.600000
13,0.600000,0.400000,0.400000,0.600000
14,0.600000,0.400000,0.400000,0.600000
15,0.600000,0.400000,0.400000,0.600000
16,0.600000,0.400000,0.400000,0.600000
17,0.600000,0.400000,0.400000,0.600000
18,0.600000,0.400000,0.400000,0.600000
19,0.600000,0.400000,0.400000,0.600000
20,0.600000,0.400000,0.400000,0.600000
21,0.600000,0.400000,0.400000,0.600000
22,0.600000,0.400000,0.400000,0.600000
23,0.600000,0.400000,0.400000,0.600000
24,0.600000,0.400000,0.400000,0.600000
25,0.600000,0.400000,0.400000,0.600000
26,0.600000,0.400000,0.400000,0.600000
27,0.600000,0.400000,0.400000,0.600000
28,0.600000,0.400000,0.400000,0.600000
29,0.600000,0.400000,0.400000,0.600000
30,0.600000,0.400000,0.400000,0.600000
31,0.600000,0.400000,0.400000,0.600000
32,0.600000,0.400000,0.400000,0.600000
33,0.600000,0.400000,0.400000,0.600000
34,0.600000,0.400000,0.400000,0.600000
35,0.600000,0.400000,0.400000,0.600000
36,0.600000,0.400000,0.400000,0.600000
37,0.600000,0.400000,0.400000,0.600000
38,0.600000,0.400000,0.400000,0.600000
39,0.600000,0.400000,0.400000,0.600000
40,0.600000,0.400000,0.400000,0.600000
41,0.600000,0.400000,0.400000,0.600000
42,0.600000,0.400000,0.400000,0.600000
43,0.600000,0.400000,0.400000,0.600000
44,0.600000,0.400000,0.400000,0.600000
45,0.600000,0.400000,0.400000,0.600000
46,0.600000,0.400000,0.400000,0.600000
47,0.600000,0.400000,0.400000,0.600000
48,0.600000,0.400000,0.400000,0.600000
49,0.600000,0.400000,0.400000,0.600000
50,0.600000,0.400000,0.400000,0.600000
51,0.600000,0.400000,0.400000,0.600000
52,0.600000,0.400000,0.400000,0.600000
53,0.600000,0.400000,0.400000,0.600000
54,0.600000,0.400000,0.600000,0.400000
55,0.600000,0.400000,0.400000,0.600000
56,0.600000,0.400000,0.600000,0.400000
57,0.600000,0.400000,0.600000,0.400000
58,0.600000,0.400000,0.400000,0.600000
59,0.600000,0.400000,0.400000,0.600000
60,0.600000,0.400000,0.400000,0.600000
61,0.600000,0.400000,0.400000,0.600000
62,0.600000,0.400000,0.400000,0.600000
63,0.600000,0.400000,0.400000,0.600000
64,0.400000,0.600000,0.400000,0.600000
65,0.400000,0.600000,0.400000,0.600000
66,0.400000,0.600000,0.400000,0.600000
67,0.600000,0.400000,0.400000,0.600000
68,0.600000,0.400000,0.400000,0.600000
