lambda,m,mean_regret,worst_regret
0.050000,0.500000,3131.137939,4684.003906
0.050000,3.000000,3131.135498,4684.000977
0.050000,5.000000,3131.137939,4684.003906
1.000000,0.500000,1576.010010,2524.553223
1.000000,3.000000,1629.894165,2605.868164
1.000000,5.000000,1629.894287,2605.867188
3.000000,0.500000,428.271484,708.711914
3.000000,3.000000,460.914948,762.262207
3.000000,5.000000,487.033875,805.046875
5.000000,0.500000,186.017776,308.342773
5.000000,3.000000,205.884766,341.353516
5.000000,5.000000,221.801468,367.778809
10.000000,0.500000,1.381250,6.906250
10.000000,3.000000,11.498047,16.965820
10.000000,5.000000,19.586426,30.512695
