lambda,m,0,1,2,3,4
0.050000,0.500000,1458.652100,2535.251709,3185.974365,7183.079102,9876.084961
0.050000,3.000000,1458.656982,2535.254883,3185.977539,7183.080078,9876.084961
0.050000,5.000000,1458.652100,2535.251709,3185.974365,7183.079102,9876.084961
1.000000,0.500000,2929.218018,4391.682129,5345.425293,8443.025391,10905.331055
1.000000,3.000000,2868.141357,4320.778809,5264.110352,8408.067383,10884.163086
1.000000,5.000000,2868.140625,4320.778809,5264.111328,8408.065430,10884.164062
3.000000,0.500000,4406.564941,5990.598633,7161.266602,9049.025391,11145.918945
3.000000,3.000000,4359.801270,5942.892578,7107.716309,9035.439453,11144.307617
3.000000,5.000000,4322.642578,5904.919922,7064.931641,9024.318359,11142.750000
5.000000,0.500000,4761.666992,6346.809082,7561.635742,9144.564453,11149.966797
5.000000,3.000000,4731.861328,6317.143066,7528.625000,9137.290039,11150.388672
5.000000,5.000000,4708.115723,6293.535156,7502.199707,9131.365234,11150.508789
10.000000,0.500000,5042.231445,6621.437988,7869.978516,9210.575195,11143.602539
10.000000,3.000000,5026.611816,6606.290039,7853.012695,9207.148438,11144.178711
10.000000,5.000000,5014.153809,6594.177246,7839.465820,9204.376953,11144.625977
