lambda,m,z,turnover
0.050000,0.500000,0.980478,1.000002
0.050000,3.000000,0.961728,1.000000
0.050000,5.000000,0.946728,1.000000
1.000000,0.500000,0.431691,0.009033
1.000000,3.000000,0.431679,0.000000
1.000000,5.000000,0.431679,0.000001
10.000000,0.500000,-0.121636,0.936885
10.000000,3.000000,-0.139152,0.931533
10.000000,5.000000,-0.153093,0.927262
20.000000,0.500000,-0.558943,0.988461
20.000000,3.000000,-0.577452,0.985781
20.000000,5.000000,-0.592222,0.983644
50.000000,0.500000,-1.851749,1.000002
50.000000,3.000000,-1.870499,1.000000
50.000000,5.000000,-1.885499,1.000000
