lambda,m,s,V,z
0.05,0.5,0,1381.8734,0.9804783888149872
0.05,0.5,1,1779.42,0.9804783888149872
0.05,0.5,2,3634.2778,0.9804783888149872
0.05,0.5,3,5418.558,0.9804783888149872
0.05,0.5,4,10364.509,0.9804783888149872
0.05,3.0,0,1381.8734,0.9617283901826609
0.05,3.0,1,1779.42,0.9617283901826609
0.05,3.0,2,3634.2778,0.9617283901826609
0.05,3.0,3,5418.558,0.9617283901826609
0.05,3.0,4,10364.509,0.9617283901826609
0.05,5.0,0,1381.8734,0.9467283845369411
0.05,5.0,1,1779.42,0.9467283845369411
0.05,5.0,2,3634.2778,0.9467283845369411
0.05,5.0,3,5418.558,0.9467283845369411
0.05,5.0,4,10364.509,0.9467283845369411
1.0,0.5,0,3701.4087,0.4316913908714617
1.0,0.5,1,4527.653,0.4316913908714617
1.0,0.5,2,7171.662,0.4316913908714617
1.0,0.5,3,9199.521,0.4316913908714617
1.0,0.5,4,13790.186,0.4316913908714617
1.0,3.0,0,3673.2107,0.4316792500607809
1.0,3.0,1,4493.3213,0.4316792500607809
1.0,3.0,2,7132.563,0.4316792500607809
1.0,3.0,3,9165.93,0.4316792500607809
1.0,3.0,4,13763.742,0.4316792500607809
1.0,5.0,0,3673.2107,0.43167923712511763
1.0,5.0,1,4493.3213,0.43167923712511763
1.0,5.0,2,7132.568,0.43167923712511763
1.0,5.0,3,9165.932,0.43167923712511763
1.0,5.0,4,13763.734,0.43167923712511763
10.0,0.5,0,8509.421,-0.121635544084143
10.0,0.5,1,9831.038,-0.121635544084143
10.0,0.5,2,12376.168,-0.121635544084143
10.0,0.5,3,13888.785,-0.121635544084143
10.0,0.5,4,16740.22,-0.121635544084143
10.0,3.0,0,8470.191,-0.13915177034707582
10.0,3.0,1,9789.063,-0.13915177034707582
10.0,3.0,2,12339.419,-0.13915177034707582
10.0,3.0,3,13858.418,-0.13915177034707582
10.0,3.0,4,16724.014,-0.13915177034707582
10.0,5.0,0,8438.942,-0.1530927390997116
10.0,5.0,1,9755.669,-0.1530927390997116
10.0,5.0,2,12310.209,-0.1530927390997116
10.0,5.0,3,13834.02,-0.1530927390997116
10.0,5.0,4,16711.154,-0.1530927390997116
20.0,0.5,0,8896.977,-0.5589434301906742
20.0,0.5,1,10244.031,-0.5589434301906742
20.0,0.5,2,12733.929,-0.5589434301906742
20.0,0.5,3,14185.865,-0.5589434301906742
20.0,0.5,4,16894.92,-0.5589434301906742
20.0,3.0,0,8876.532,-0.5774517942875639
20.0,3.0,1,10222.273,-0.5774517942875639
20.0,3.0,2,12715.189,-0.5774517942875639
20.0,3.0,3,14170.45,-0.5774517942875639
20.0,3.0,4,16886.904,-0.5774517942875639
20.0,5.0,0,8860.195,-0.5922224410343355
20.0,5.0,1,10204.893,-0.5922224410343355
20.0,5.0,2,12700.216,-0.5922224410343355
20.0,5.0,3,14158.113,-0.5922224410343355
20.0,5.0,4,16880.5,-0.5922224410343355
50.0,0.5,0,8985.935,-1.851748728811207
50.0,0.5,1,10338.563,-1.851748728811207
50.0,0.5,2,12815.092,-1.851748728811207
50.0,0.5,3,14252.968,-1.851748728811207
50.0,0.5,4,16929.334,-1.851748728811207
50.0,3.0,0,8985.926,-1.8704987980167302
50.0,3.0,1,10338.563,-1.8704987980167302
50.0,3.0,2,12815.08,-1.8704987980167302
50.0,3.0,3,14252.957,-1.8704987980167302
50.0,3.0,4,16929.326,-1.8704987980167302
50.0,5.0,0,8985.926,-1.8854988868972988
50.0,5.0,1,10338.563,-1.8854988868972988
50.0,5.0,2,12815.089,-1.8854988868972988
50.0,5.0,3,14252.964,-1.8854988868972988
50.0,5.0,4,16929.332,-1.8854988868972988
