lambda,m,0,1,2,3,4
0.05,0.5,3583.5793,4086.1863,4684.004,2027.4961,1274.4238
0.05,3.0,3583.5745,4086.183,4684.001,2027.4951,1274.4238
0.05,5.0,3583.5793,4086.1863,4684.004,2027.4961,1274.4238
1.0,0.5,2113.0134,2229.7559,2524.5532,767.5498,245.17773
1.0,3.0,2174.09,2300.6592,2605.8682,802.5078,266.3457
1.0,5.0,2174.0908,2300.6592,2605.8672,802.50977,266.34473
3.0,0.5,635.6665,630.83936,708.7119,161.5498,4.5898438
3.0,3.0,682.4302,678.5454,762.2622,175.13574,6.201172
3.0,5.0,719.58887,716.51807,805.0469,186.25684,7.758789
5.0,0.5,280.56445,274.6289,308.34277,66.01074,0.5419922
5.0,3.0,310.37012,304.29492,341.35352,73.28516,0.12011719
5.0,5.0,334.11572,327.90283,367.7788,79.20996,0.0
10.0,0.5,0.0,0.0,0.0,0.0,6.90625
10.0,3.0,15.619629,15.147949,16.96582,3.4267578,6.330078
10.0,5.0,28.077637,27.260742,30.512695,6.198242,5.8828125
